year,per capita income (US$),Predicted
2016,34229.19363,38129.15346720372
2011,42334.71121,33963.477428981336
1983,10416.53659,10635.691614936106
1970,3399.299037,-195.06608444196172
2002,19232.17556,26465.260560180992
2015,35175.18898,37296.01825955929
1991,17266.09769,17300.77327609202
1984,10790.32872,11468.82682258077
2013,42676.46837,35629.7478442702
2001,18601.39724,25632.12535253656
